"Họ tên","Học hàm/Học vị","Chuyên khoa","Cơ sở y tế","Đánh giá","Đường dẫn hồ sơ"
"Đặng Thị Thùy Trang","Bác sĩ chuyên khoa II","Tai - Mũi - Họng","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/dang-thi-thuy-trang-51428-vi"
"Lê Thu Phương","Bác sĩ chuyên khoa II","Nhi","Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Hải Phòng","4.9/5","/vie/chuyen-gia-y-te/le-thu-phuong-50880-vi"
"Nguyễn Văn Hùng","Bác sĩ chuyên khoa II","Hồi sức - Cấp cứu","Khoa Cấp cứu - Vận chuyển Quốc tế - Bệnh viện Đa khoa Vinmec Nha Trang","4.9/5","/vie/chuyen-gia-y-te/nguyen-van-hung-51403-vi"
"Phan Ngọc Toán","Bác sĩ chuyên khoa II","Hồi sức - Cấp cứu","Khoa Hồi sức Cấp cứu - Bệnh viện Đa khoa Vinmec Đà Nẵng","4.9/5","/vie/chuyen-gia-y-te/phan-ngoc-toan-51093-vi"
"Dương Thị Kim Loan","Bác sĩ chuyên khoa II","Dinh Dưỡng","Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/duong-thi-kim-loan-51913-vi"
"Nguyễn Văn Thái","Bác sĩ chuyên khoa II","Tai - Mũi - Họng","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng","4.9/5","/vie/chuyen-gia-y-te/nguyen-van-thai-51083-vi"
"Phạm Thị Tuyết Mai","Bác sĩ chuyên khoa II","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hải Phòng","4.9/5","/vie/chuyen-gia-y-te/pham-thi-tuyet-mai-50846-vi"
"Trần Thị Mai Hưởng","Bác sĩ chuyên khoa II","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hải Phòng","4.9/5","/vie/chuyen-gia-y-te/tran-thi-mai-huong-50845-vi"
"Võ Lâm Kha Thứ","Bác sĩ chuyên khoa II","N/A","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/vo-lam-kha-thu-51884-vi"
"Bùi Thị Thu","Bác sĩ chuyên khoa II","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Vinmec Hải Phòng","4.9/5","/vie/chuyen-gia-y-te/bui-thi-thu-50850-vi"
"Nguyễn Thái Hưng","Bác sĩ chuyên khoa II","Mắt","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Đà Nẵng","4.9/5","/vie/chuyen-gia-y-te/nguyen-thai-hung-51088-vi"
"Doãn Thanh Tuấn","Thạc sĩ, Bác sĩ chuyên khoa II","Sản phụ khoa","Bệnh viện Đa khoa Vinmec Đà Nẵng","4.9/5","/vie/chuyen-gia-y-te/doan-thanh-tuan"
"Nguyễn Thị Minh Tuyết","Bác sĩ chuyên khoa II","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/nguyen-thi-minh-tuyet-50833-vi"
"Nguyễn Thị Ngọc","Bác sĩ chuyên khoa II","Nội tiết","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/nguyen-thi-ngoc-51360-vi"
"Nguyễn Thị Kim Dung","Bác sĩ chuyên khoa II","Khoa Sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/nguyen-thi-kim-dung-50817-vi"
"Nguyễn Thị Hương Linh","Bác sĩ chuyên khoa II","Khoa Sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/nguyen-thi-huong-linh-50815-vi"
"Phùng Thị Lý","Bác sĩ chuyên khoa II","Khoa Sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/phung-thi-ly-50821-vi"
